title,description,show_type,tags,year,length,rating,votes,countries,link,image_link
Coyote Lake (2019),"Ester i jej apodyktyczna matka prowadzą mały bar w pobliżu granicy USA / Meksyku. Pewnej nocy przybywa dwóch gości, zagrażając bezpieczeństwu wszystkich, obie kobiety ukrywają tajemnicę, która może okazać się najbardziej niebezpieczna",Film,Thriller,2019,93,4.7,254,USA,https://cda-hd.cc/40171/coyote-lake-2019-online/,https://image.tmdb.org/t/p/w185/4pgBw9pS1QXqR9rPzUsSUJZHN9e.jpg
Słońce też jest gwiazdą / The Sun Is Also a Star (2019),"Natasha i Daniel pochodzą z różnych środowisk. Ona nie wierzy w nic, czego nie da się udowodnić naukowo. On to niepoprawny romantyk. Jedno z nich wkrótce wyjedzie na zawsze. Spotykają się przypadkiem w Nowym Jorku i jest im dany zaledwie jeden wspólny dzień. Czy można przeżyć wielką miłość, gdy czasu jest tak niewiarygodnie mało?",Film,"Dramat, Romans",2019,100,5.6,2,USA,https://cda-hd.cc/40169/slonce-tez-jest-gwiazda-the-sun-is-also-a-star-2019/,https://image.tmdb.org/t/p/w185/8MiOdn7wXBj03ySphErGsS3fH6t.jpg
Bitwa / Battle (2018),"Gdy ojciec Amalie bankrutuje, życie młodej i dobrze sytuowanej tancerki zaczyna się walić. Na szczęście na horyzoncie pojawia się tancerz hip-hopowy o imieniu Mikael.",Film,"Dramat, Muzyczny, Romans",2018,95,6.0,2,"Norway, Denmark, Netherlands, Sweden",https://cda-hd.cc/40167/bitwa-battle-2018-online/,https://image.tmdb.org/t/p/w185/rg3W0dY80XL9zHZvCpYrBlYrSyh.jpg
The Maestro (2018),"Przełom lat 40. I 50. XX wieku. Mario Castelnuovo-Tedesco (Xander Berkeley) jest jednym z największych kompozytorów swoich czasów. Choć owiany jest złą sławą, nie można odmówić mu talentu. Jeden z obiecujących muzyków, Jerry Herst (Leo Marks), wyjeżdża do Hollywood, by zaczerpnąć nauk u mistrza. Fabuła obrazu oparta jest na korespondencji między artystą i jego protegowanym. Produkcja prezentuje relację między nimi i eksploruje temat ekspresji artystycznej, przedstawia również realia powojennego Hollywood.",Film,"Biograficzny, Dramat, Historyczny, Muzyczny",2018,94,5.5,115,USA,https://cda-hd.cc/40159/the-maestro-2018-online/,https://image.tmdb.org/t/p/w185/3s9fCk37kQk2uPN9FaPwBZitwRh.jpg
Trzy kroki od siebie / Five Feet Apart (2019),"Historia nastolatków chorych na mukowiscydozę, którzy poznają się w szpitalu i zakochują w sobie. Na przeszkodzie stoi jednak ich zdrowie, ponieważ zgodnie z zaleceniami nie powinni przebywać w swoim otoczeniu, kategorycznie nie mogą się też dotykać.",Film,"Dramat, Romans",2019,116,7.2,13,USA,https://cda-hd.cc/39166/trzy-kroki-od-siebie-five-feet-apart-2019-online/,https://image.tmdb.org/t/p/w185/74Jn0du9mbHgh5ShXY3HmwQuq7S.jpg
Dorastając / Adolescence (2018),"Siedemnastoletni Adam (Mickey River) pochodzi z przemysłowego miasteczka Torrente w Kalifornii. Codziennie kłócący się rodzice, brak pewności siebie i przytłaczająca monotonia to problemy, z którymi chłopak musi się borykać. Pewnego razu najlepszy przyjaciel Keith (Romeo Miller) proponuje mu wycieczkę do tętniącego życiem i pełnego atrakcji Venice Beach. Adam poznaje tam atrakcyjną i błyskotliwą Alice (India Eisley). Nastolatkowie zakochują się w sobie, ale miłość wpędza Adama w kłopoty. Dziewczyna wciąga go bowiem do destrukcyjnego świata pełnego narkotyków i używek.",Film,"Dramat, Romans",2018,99,5.4,205,USA,https://cda-hd.cc/40157/dorastajac-adolescence-2018-online/,https://image.tmdb.org/t/p/w185/k6FClwc5rxbFf1PXsH8ZJxMQYvj.jpg
Taśmy Watykanu / The Vatican Tapes (2015),"Angela Holme jest opętana przez demona, który sprowadza cierpienie i śmierć na innych. Duchowni z Watykanu wysyłają egzorcystów, by pomogli dziewczynie.",Film,"Horror, Thriller",2015,91,4.5,7,USA,https://cda-hd.cc/40148/tasmy-watykanu-the-vatican-tapes-2015/,https://image.tmdb.org/t/p/w185/U8IYYKWWKl3sJGloYrhlmfU1iu.jpg
Przebudzenie dusz / Ghost Stories (2017),"Sceptyczny wobec zjawisk paranormalnych profesor Goodman otrzymuje list. Tajemnicza notka wydaje się być napisana zza grobu. Wiadomość jest autorstwa jego dawnego przełożonego – Charlesa Camerona. Człowiek ten zaginął 15 lat temu i został uznany za martwego. Cameron twierdzi jednak w liście, że potrzebuje pomocy Goodmana, aby wspólnie rozwiązać trzy tajemnicze sprawy, których nie udało się rozwikłać od lat. W trakcie śledztwa, profesor spotyka na swojej drodze trójkę osób nawiedzanych przez duchy. Każda z nich opowiada mu swoją straszną historię. Jednak to nie opowieści same w sobie będą najbardziej przerażające, tylko prawda kryjąca się za nimi wszystkimi.",Film,"Dramat, Horror",2018,98,6.4,16160,UK,https://cda-hd.cc/40146/przebudzenie-dusz-ghost-stories-2017-online/,https://image.tmdb.org/t/p/w185/7a0sai9k5jr7YJRP5S3YIDErMVY.jpg
"Całujesz i masz / Pup-o, ma! (2018)","Trzech spragnionych miłości samotnych pasterzy próbuje pocałować upatrzone panie, licząc na to, że uda im się skłonić je do małżeństwa.",Film,Komedia,2019,,6.5,316,Romania,https://cda-hd.cc/40138/calujesz-i-masz-pup-o-ma-2018-online/,https://image.tmdb.org/t/p/w185/vVrKGKTjk9ULFSfWJvYDhbPcnob.jpg
Girl (2018),"Piętnastoletnia Lara zrobi wszystko, by spełnić swoje marzenia. Chce zacząć naukę w prestiżowej szkole baletowej i zrobić karierę baleriny. Marzy o czymś jeszcze – o wydostaniu się z chłopięcego ciała, w którym uwięziona jest wrażliwa dziewczyna.",Film,Dramat,2019,105,7.2,8,"Belgium, Netherlands",https://cda-hd.cc/40136/girl-2018-online/,https://image.tmdb.org/t/p/w185/cgN0uvCExl21o9qVXcnZJu4EjOm.jpg
