title,description,show_type,tags,year,length,rating,votes,countries,link,image_link
Lądowanie na Księżycu: Taśmy prawdy / Moon Landing The Lost Tapes (2019),"20 lipca 1969 roku doszło do jednego z najważniejszych wydarzeń w dziejach ludzkości – Neil Armstrong stanął na powierzchni Księżyca. Sukces ten okupiony był ciężką pracą. Poprzedziło go wiele nieudanych przedsięwzięć. Zaprezentowane zostaną niepokazywane wcześniej materiały, w tym wywiady z astronautami i inżynierami czy nagrania ze Srebrnego Globu, które dotąd uważano za zaginione. Przejmujący obraz uzupełnią ponadto prywatne nagrania. Twórcy dołożyli starań, aby widz miał wrażenie osobistego uczestniczenia w wydarzeniach.",Film,Dokumentalny,2019,,6.0,323,USA,https://cda-hd.cc/39427/ladowanie-na-ksiezycu-tasmy-prawdy-moon-landing-the-lost-tapes-2019/,https://m.media-amazon.com/images/M/MV5BY2ExOThiZDgtMzlkMi00OGFhLTllNGEtMGRlNDlhNTBjMWM5XkEyXkFqcGdeQXVyMzM3Mjk4NQ@@._V1_FMjpg_UX1000_.jpg
Źyciowy gracz / Spielmacher (2018),"Ivo (Frederick Lau) grał niegdyś w zawodowej drużynie piłki nożnej. Na kartach jego przeszłości zapisało się także parę kryminalnych incydentów. Teraz Ivo chce zmienić swoje życie. Skłonności do łamania prawa jednak okazują się jednak zbyt silne, by pozwolić o sobie zapomnieć. Pewnego dnia bowiem oszust Dejansa (Oliver Masucci) zauważa u Ivo naturalny talent do zakładów w dziedzinie sportu i postanawia zaangażować go w kolejne matactwa. Były piłkarz poznaje też młodego sportowca Lucasa (Mateo Wansing Lorrio) i zakochuje się w jego matce.",Film,"Dramat, Kryminał, Sportowy",2018,,6.4,102,Germany,https://cda-hd.cc/39344/zyciowy-gracz-spielmacher-2018-online/,https://image.tmdb.org/t/p/w185/k0ij0ahAG1uJl6C40ZqzjKqAe3z.jpg
Rusałka. Jezioro umarłych / Rusalka: Ozero myortvykh (2018),"Marina ma wyjść za Romana. Tymczasem jej ukochany spotyka tajemniczą dziewczynę i coraz bardziej ulega czarowi, który na niego rzuciła. Marina musi przezwyciężyć lęk przed wodą, by pokonać demony.",Film,"Dramat, Fantasy, Horror, Romans, Tajemnica, Thriller",2018,,4.3,680,Russia,https://cda-hd.cc/39104/rusalka-jezioro-umarlych-rusalka-ozero-myortvykh-2018-online/,https://image.tmdb.org/t/p/w185/9s1dZT7G95zL3JZ3K34VHZi6oa5.jpg
Mój tata pisał pornografię / My Dad Wrote a Porno (2019),"Podcast z seksualnym podtekstem, który stał się wielkim hitem po obu stronach Atlantyku. Produkcja trafiła do telewizji jako wydarzenie specjalne nagrane przed publicznością na żywo w Roundhouse.",Film,Komedia,2019,,6.2,166,UK,https://cda-hd.cc/38887/moj-tata-pisal-pornografie-my-dad-wrote-a-porno-2019-online/,https://image.tmdb.org/t/p/w185/za8xRL3ygFyk1zRzAEsYuu26Zht.jpg
Gra o Tron: Ostatnia warta / Game of Thrones: The Last Watch (2019),"Film dokumentalny „Gra o Tron: Ostatnia warta” („Game of Thrones: The Last Watch”) zanurza się głęboko w pełen błota i krwi serialowy świat „Gry o tron”, aby pokazać pot i łzy, jak również chwile triumfu, które towarzyszyły jego twórcom przy kreowaniu świata Westeros i jego bohaterów. Zdjęcia kręcone były nie tylko w studiach, ale również na polach i parkingach w Irlandii Północnej. Dokument ten jest bezprecedensową, osobistą kroniką odsłaniającą kulisy powstawania „Gry o Tron”. Twórcy podążają w nim za członkami ekipy i obsadą serialu, którym przyszło zmagać z ekstremalną pogodą, goniącymi ich terminami czy nieustanną ciekawością podekscytowanych fanów, którzy marzyli o poznaniu chociaż rąbka fabuły. Produkcja ta jest nie tylko kroniką pracy na planie, to także zabawna i przejmująca historia, opowiedziana ze swadą i dużą dozą intymności, przedstawiająca słodko-gorzką prawdę o radości, jaką daje tworzenie świata i smutku towarzyszącym konieczności pożegnania się z nim.",Film,Dokumentalny,2019,,7.6,2378,USA,https://cda-hd.cc/38875/gra-o-tron-ostatnia-warta-game-of-thrones-the-last-watch-2019-online/,https://image.tmdb.org/t/p/w185/9qpuNPi06IdqqZdRunRRSOl65RS.jpg
Perfekcja / The Perfection (2018),"W tym thrillerze o zawiłej fabule wirtuozka wiolonczeli po długiej przerwie w karierze odszukuje dawnych mentorów i odkrywa, że mają nową utalentowaną uczennicę.",Film,"Dramat, Horror, Thriller",2019,,6.3,157,USA,https://cda-hd.cc/38829/perfekcja-the-perfection-2018/,https://image.tmdb.org/t/p/w185/tPDe68PDsgIGMs6wdJLtcwVVxA7.jpg
Uśmiechy smutnych mężczyzn / Úsmevy smutných muzu (2018),"Opowieść o czterech mężczyznach, którzy znaleźli się na dnie przez swój nałóg. Niegdyś odnoszący sukcesy, teraz pozostający na marginesie społeczeństwa alkoholicy Josef (David Svehlík), Tomáš (Ivan Franek), Milan (Jaroslav Dusek) i Honza (Ondrej Malý) doskonale zdają sobie sprawę, w jak trudnym położeniu się znaleźli. Nie odmawiają sobie jednak przyjemności odnajdywania powodów do śmiechu w najbardziej prozaicznych rzeczach.",Film,"Dramat, Komedia",2018,,6.7,143,Czech Republic,https://cda-hd.cc/38620/usmiechy-smutnych-mezczyzn-usmevy-smutnych-muzu-2018-online/,https://image.tmdb.org/t/p/w185/pHVZmtcdO39D5QE2scL4eEzIFnN.jpg
Wszystkie kolory trawy / Grass is Greener (2019),Zioło zagościło na dobre w świecie jazzu i hip-hopu. To przez nie toczą się wojny narkotykowe. Jakie piętno na amerykańskim społeczeństwie odcisnęła marihuana?,Film,Dokumentalny,2019,97,7.1,241,,https://cda-hd.cc/38470/wszystkie-kolory-trawy-grass-is-greener-2019-online/,https://image.tmdb.org/t/p/w185/xIO2FJBHYihZVnAk2uitfo7PSlI.jpg
Rozmowy z Masarykiem / Hovory s TGM (2018),"26 września 1928 roku pisarz Karel Čapek i prezydent Tomáš Garrigue Masaryk, dwie bardzo ważne postacie I Republiki Czechosłowackiej, spotykają się w ogrodach zamku Topolčianky, aby porozmawiać o przyszłości ich wspólnego dzieła literackiego. Čapek oraz Masaryk konfrontują swoje poglądy i wzajemnie się obrażają. Zadają sobie też osobiste pytania i dywagują na temat społecznej funkcji twórczości i polityki.",Film,"Biograficzny, Dramat, Historyczny",2018,,6.7,35,Czech Republic,https://cda-hd.cc/38403/rozmowy-z-masarykiem-hovory-s-tgm-2018-online/,https://image.tmdb.org/t/p/w185/crbwNXIRBbsutdTTsKsEn5HupVk.jpg
Seven in Heaven (2018),"Dwójka nastolatków wchodzi do tajemniczej szafy i pojawia się w przerażającej alternatywnej rzeczywistości. Muszą znaleźć drogę powrotną, zanim drzwi zostaną zamknięte na zawsze.",Film,"Horror, Sci-Fi",2018,,5.3,11713,USA,https://cda-hd.cc/38139/seven-in-heaven-2018-online/,https://image.tmdb.org/t/p/w185/elReufFR4NYFiBVRsD0wB2F6FDf.jpg
Sekretny świat kotów / Cats and Peachtopia (2018),"Życie młodego kota Cape’a to istna sielanka. Mieszka z tatą u dobrych ludzi, gdzie niczego im nie brakuje. Państwo są przekonani, że lepiej ułożonych i grzeczniejszych kotów ze świecą szukać. Ale wkrótce odkryją, że nie do końca mieli rację! Cape to niespokojny duch, który od dziecka marzy o wielkiej przygodzie. Gdy usłyszy opowieść o mitycznej kociej krainie, postanowi wbrew rodzicielskim zakazom wyruszyć w drogę.",Film,"Akcja, Komedia, Przygodowy",2019,,5.4,186,China,https://cda-hd.cc/39232/sekretny-swiat-kotow-cats-and-peachtopia-2018-online/,https://image.tmdb.org/t/p/w185/4WmPz5NPuJKuFkKAYSGzziOVo3Z.jpg
Madame J / Lady J (2019),"Gdy jej romans z rozpustnym markizem przybiera niekorzystny obrót, bogata wdowa korzysta z pomocy młodszej kobiety, by opracować plan zemsty.",Film,"Dramat, Romans",2019,,7.2,79,,https://cda-hd.cc/37518/madame-j-lady-j-2019-online/,https://image.tmdb.org/t/p/w185/7lRyjgYcrl0CfUBqQTJAAsFgVy.jpg
Naczelny dowódca / General Commander (2018),Funkcjonariusz GRS Jake Alexander i jego zespół młodych rekrutów ścigają najbardziej niebezpiecznych i znanych przestępców przy pomocy miliardera z Hong Kongu.,Film,Akcja,2018,,6.6,35,"UK, Philippines, Hungary",https://cda-hd.cc/37363/naczelny-dowodca-general-commander-2018-online/,"https://m.media-amazon.com/images/M/MV5BZTNmMGM4N2UtNzdkZC00MDdlLTg2ZWQtMjdiYjAxZjk2OTJhXkEyXkFqcGdeQXVyNjc0ODMzOTI@._V1_UX182_CR0,0,182,268_AL_.jpg"
Tristan i Izolda / Tristan + Isolde (2006),"Tristan, walcząc w turnieju jako reprezentant swojego władcy, zdobywa rękę pięknej Izoldy. Okazuje się, że jest ona kobietą, która niedawno ocaliła mu życie i z wzajemnością go pokochała.",Film,"Akcja, Dramat, Romans, Wojenny",2006,,6.8,48459,"USA, UK, Germany, Czech Republic",https://cda-hd.cc/37161/tristan-i-izolda-tristan-isolde-2006-online/,https://image.tmdb.org/t/p/w185/pX0JBGiSeClgcMUkiSQzkpGpi6e.jpg
30 nocy seksu / 30 Nights (2018),"W ostatniej próbie ratowania małżeństwa, Nick oraz Willa odwiedzają słynnego, aczkolwiek ekscentrycznego terapeutę związkowego. Wspólnie wyruszają w miesięczną podróż prowokacyjnych i zabawnych zadań seksualnych.",Film,Komedia,2018,,4.2,211,USA,https://cda-hd.cc/37579/30-nocy-seksu-30-nights-2018/,"https://m.media-amazon.com/images/M/MV5BMmQ4M2U2ZTktOTEyYy00YTgyLWEzNDAtNjMyY2RkODJhNzQ5XkEyXkFqcGdeQXVyNTA2ODk3OTk@._V1_UX182_CR0,0,182,268_AL_.jpg"
Big Ben – ratowanie najsłynniejszego zegara świata / Big Ben: Saving the World’s Most Famous Clock (2017),"Najsłynniejsza i największa wieża zegarowa na świecie, będąca wizytówką Londynu, przeszła remont generalny, podczas którego jej dzwony zostały wyciszone na cztery lata. O tym ogromnym przedsięwzięciu opowiada dyrektor Landmark Trust, Anna Keay, a także odpowiedzialny za niego architekt i trzej zegarmistrzowie, którzy ustawiają gigantyczny mechanizm po raz pierwszy od prawie 160 lat. Autorzy filmu przybliżają także bogatą historię Elizabeth Tower.",Film,Dokumentalny,2017,,8.7,6,UK,https://cda-hd.cc/36837/big-ben-ratowanie-najslynniejszego-zegara-swiata-big-ben-saving-the-worlds-most-famous-clock-2017-online/,"https://m.media-amazon.com/images/M/MV5BNjIyYTYyNjQtMjcwMy00YTJkLWExODctODdhN2MwZWI3MDZlXkEyXkFqcGdeQXVyODk1MDkzODU@._V1_UY268_CR151,0,182,268_AL_.jpg"
W pętli / Hurok (2016),"W wyniku wypadku samochodowego ginie spodziewająca się dziecka dziewczyna Adama. Wkrótce mężczyzna otrzymuje od losu szereg szans na naprawienie przeszłych błędów, które niefortunnie przyczyniły się do tragedii. Aby utrzymać ukochaną kobietę przy życiu, Adam musi stawić czoła konsekwencjom wcześniejszych wyborów.",Film,Thriller,2016,,7.2,247,Hungary,https://cda-hd.cc/36383/w-petli-hurok-2016-online/,https://image.tmdb.org/t/p/w185/hj4yGLUQLBUni8xbK69qV33B2UO.jpg
The Last Boy (2019),"Świat zbliża się do zagłady, umierająca matka wysyła młodego syna w poszukiwaniu miejsca, które spełnia życzenia.",Film,"Dramat, Sci-Fi",2019,,5.0,160,UK,https://cda-hd.cc/36348/the-last-boy-2019-online/,https://image.tmdb.org/t/p/w185/7o5WVpjAffERCTkrAmpqNlieAMz.jpg
Buntownicy z Seminarium / One Step Behind the Seraphim (2017),"Grupa studentów pierwszego roku seminarium po tym, jak zderzy się ze światem obłudy, fałszu i korupcji, będzie musiała zrewidować swoje oczekiwania. Czy Gabrielowi i jego kolegom uda się zachować młodzieńcze ideały? Czy złamie zasady, obowiązujące w szkole – a może będzie zmuszony poddać się surowym regułom? Doskonała opowieść o buncie, władzy i dorastaniu w niesprzyjających warunkach.",Film,Dramat,2017,,8.4,1,Romania,https://cda-hd.cc/36238/buntownicy-z-seminarium-one-step-behind-the-seraphim-2017-online/,https://image.tmdb.org/t/p/w185/kVoE5Rm8BsCBpyxo473JGSPgfRw.jpg
Johnny Gruesome (2018),"Zamordowany uczeń liceum, powraca do życia by zemścić się na swoich oprawcach",Film,"Horror, Komedia",2018,,5.0,96,USA,https://cda-hd.cc/36214/johnny-gruesome-2018-online/,https://image.tmdb.org/t/p/w185/m2l0yqOcTlAcy1mbWEayK3P6XUn.jpg
Odnajdę cię (2018),"Córka policjantki Justy – Lena zostaje uprowadzona. Kobieta, aby ją uratować decyduje się popełnić przestępstwo.",Film,Kryminał,2018,,5.0,1212,Poland,https://cda-hd.cc/35784/odnajde-cie-2018-online/,https://image.tmdb.org/t/p/w185/5aYD455MNVI61ZejyeqwntK6YPm.jpg
Mowgli: Legenda dżungli / Mowgli: Legend Of The Jungle (2018),Chłopiec wychowany w dżungli przez zwierzęta zmaga się z potężnym wrogiem — i własną naturą.,Film,"Dramat, Przygodowy",2018,,7.3,359,UK | USA,https://cda-hd.cc/35195/mowgli-legenda-dzungli-mowgli-legend-of-the-jungle-2018-online/,https://image.tmdb.org/t/p/w185/wdj8FK2bCA7iNtZRSzJHrltAwnr.jpg
Więzień labiryntu: Lek na śmierć / Maze Runner: The Death Cure (2018),"Thomas staje na czele grupy zbiegłych Streferów, którzy wyruszają z ostateczną misją. Jeśli chcą ocalić swych przyjaciół, muszą wkraść się do legendarnego Ostatniego Miasta – kontrolowanego przez DRESZCZ labiryntu, który kryje w sobie najniebezpieczniejszą z dotychczasowych pułapek. Ci, którzy wyjdą z niej żywi, poznają odpowiedzi na pytania, które Streferzy zadają sobie od chwili, gdy znaleźli się w pierwszym labiryncie.",Film,"Akcja, Sci-Fi, Thriller",2018,,6.4,91,142 min,https://cda-hd.cc/29586/wiezien-labiryntu-lek-na-smierc-maze-runner-the-death-cure-2018-online/,https://image.tmdb.org/t/p/w185/jupR6zmIfBp1yjbDw3KiU9GGhmA.jpg
A Month of Sundays (2015),"Frank jest agentem nieruchomości, którego życie pozbawione jest jakiegokolwiek uczucia. Jego matka zmarła, właśnie rozwiódł się z żoną, ma fatalny kontakt z synem. Pustkę emocjonalną niespodziewanie wypełnia tajemnicza rozmowa telefoniczna ze zmarłą matką.",Film,"Dramat, Komedia",2016,,6.4,128,Australia,https://cda-hd.cc/6266/a-month-of-sundays-2015-online/,https://image.tmdb.org/t/p/w185/smsxbWirgC3556f7uknTy2xksMK.jpg
Osaczona / Shut In (2016),"Dziecięca psycholożka musi uratować małego chłopca, który zaginął w tajemniczych okolicznościach podczas burzy śnieżnej.",Film,"Dramat, Thriller",2016,,4.8,91,"France, Canada, USA",https://cda-hd.cc/33905/osaczona-shut-in-2016-online/,https://image.tmdb.org/t/p/w185/qXIGq6ddQhIYe4Z7A86nZ1qjUME.jpg
My Little Pony Equestria Girls: Rollercoaster Przyjaźni / My Little Pony Equestria Girls: Rollercoaster of Friendship (2018),Nowa praca Rarity jako projektantki mody na paradzie w parku rozrywki wchodzi w drogę jej przyjaźni z Applejack. Dziewczyny muszą się pogodzić i rozwiązać sprawę zaginionych przyjaciółek.,Film,"Animacja, Familijny, Komedia, Muzyczny",2018,,6.4,43,"USA, Canada",https://cda-hd.cc/33770/my-little-pony-equestria-girls-rollercoaster-przyjazni-my-little-pony-equestria-girls-rollercoaster-of-friendship-2018-online/,https://image.tmdb.org/t/p/w185/cza853vKq9ilt2yw77ExfdfJDMj.jpg
Public Disturbance (2018),"Grupa The Janoskians została zaproszona na występ podczas pełnej gwiazd imprezy urodzinowej Alison, córki słynnego potentata medialnego (Mike Tyson). Występ w ostatniej chwili odwołano, więc ekipa jajcarzy postanowiła przejąć nudną imprezę i pokazać, co znaczy zakłócanie porządku.",Film,Komedia,2018,84,4.0,,USA,https://cda-hd.cc/33390/public-disturbance-2018-online/,https://image.tmdb.org/t/p/w185/1hVjwCDRa01fSh27nmXXrc1VGMa.jpg
Wilcza skóra / The Skin of the Wolf / Bajo la piel de lobo (2017),,Film,Dramat,2018,110,5.7,255,Spain,https://cda-hd.cc/32707/wilcza-skora-the-skin-of-the-wolf-bajo-la-piel-de-lobo-2017-online/,https://image.tmdb.org/t/p/w185/xh4iBc45ZzP8wM6Gmfhkt3k6Cwp.jpg
Dirt (2018),"Poszukując liny ratunkowej dla swojej drużyny wyścigowej, mężczyzna bierze pod swoje skrzydła młodego złodzieja samochodów, szukającego drugiej szansy.",Film,Sportowy,2018,,6.4,32,USA,https://cda-hd.cc/29978/dirt-2018-online/,https://image.tmdb.org/t/p/w185/vTaCOiOHIizJcahCgRoBQWtDwsz.jpg
Terapia sercowa / Lasciati andare (2017),"Elia Venezia (Tony Servillo) to gburowaty psychoanalityk, który od paru lat żyje w separacji ze swoją żoną. Pewnego dnia dostaje diagnozę – jeśli nie zmieni swojego trybu życia, grozi mu poważna choroba. Postanawia zgubić parę kilogramów i wyrobić sobie trochę kondycję. W tym celu zapisuje się do Claudii (Verónica Echegui) – trenerki personalnej. Claudia to przeciwieństwo Elia. Mimo trudnej sytuacji życiowej, jest radosną osobą i pełną pozytywnej energii. Dziewczyna uwikłana jest w toksyczną relację z byłym partnerem, sama wychowuje też ich dziecko. Znajomość z dziewczyną odmienia życie psychoanalityka, który na nowo odnajduje światło w nudnej i przewidywalnej codzienności.",Film,Komedia,2017,,6.0,625,Italy,https://cda-hd.cc/33821/terapia-sercowa-lasciati-andare-2017-online/,https://image.tmdb.org/t/p/w185/2FC0JILDmLmJfAfjwdAPqS6KFon.jpg
Żadnych wątpliwości / Ôtez-moi d’un doute (2017),"45-letni wdowiec Erwan (François Damiens) jest ekspertem od rozminowywania i nagle odkrywa przez przypadek, że człowiek, który go wychował, nie jest jego biologicznym ojcem. Postanawia wynająć detektywa i rozpocząć poszukiwania swojego prawdziwego rodzica. Prawdopodobnie ojcem Erwana jest starszy, niezwykle ujmujący mężczyzna o imieniu Joseph (André Wilms), który znał jego matkę przez jakiś czas. Wdowiec jednocześnie poznaje Annę (Cécile de France), w której powoli się zakochuje. Wszystko wymyka się spod kontroli, gdy okazuje się, że jest ona córką Josepha, czyli jego przyrodnią siostrą.",Film,"Dramat, Komedia",2017,100,6.5,,"France, Belgium",https://cda-hd.cc/32331/zadnych-watpliwosci-otez-moi-dun-doute-2017-online/,https://image.tmdb.org/t/p/w185/13b26yIrgRFb9AOiwAngLtBgmwM.jpg
Kobieta z lodu / Ice Mother / Bába z ledu (2017),"Po śmierci męża Hana mieszka samotnie w rodzinnym domu. Jej dwaj dorośli już synowie odwiedzają ją wraz ze swoimi żonami i dziećmi, ale te wizyty na ogół kończą się kłótniami, więc atmosfera w rodzinie jest nie najlepsza. Kiedy Hana spotyka Bronę, twardego mężczyznę uzależnionego od pływania w morzu zimą, przed kobietą otwiera się nagle zupełnie nowy świat. Brona przyjmuje Hanę do swojego zespołu morsów, a ona stopniowo uczy się pokonać strach przed lodowatą wodą. Przede wszystkim jednak na nowo uczy się kochać…",Film,"Dramat, Komedia, Romans",2017,106,7.0,,"Czech Republic, France, Slovakia",https://cda-hd.cc/32327/kobieta-z-lodu-ice-mother-baba-z-ledu-2017-online/,https://image.tmdb.org/t/p/w185/xSVomaRhZW00gVTiWAHYFtkRGt.jpg
Labirynt świadomości (2017),Młoda dziennikarka prowadzi śledztwo w sprawie tajemniczych samobójstw. W jego trakcie wpada na trop firmy skupującej krew miesięczną.,Film,Thriller,2017,125,5.4,,Poland,https://cda-hd.cc/32263/labirynt-swiadomosci-2017-online/,"https://m.media-amazon.com/images/M/MV5BY2RkNjA3NjItNDVhNi00ZGZjLWFmZjktNGU3NjQzMGUyMGM5XkEyXkFqcGdeQXVyMTEwMTY3NDI@._V1_UY268_CR3,0,182,268_AL_.jpg"
Nocny stróż / El Sereno (2017),"Samotnik Fernando (Gastón Pauls) zaczyna pracę jako nocny stróż w ogromnym magazynie, pełnym schodów i korytarzy. Budynek ma wkrótce zostać zburzony, mężczyzna znalazł więc spokojne i mało wymagające zajęcie. Pewnej nocy wydarza się jednak coś niepokojącego. Stróż słyszy dziwny dźwięk i postanawia sprawdzić, co dokładnie dzieje się w opuszczonej placówce. Okazuje się, że brama, która powinna być zamknięta, została przez kogoś otwarta. Sprawy szybko przybierają niespodziewany przebieg.",Film,"Horror, Tajemnica, Thriller",2017,,5.0,,"Uruguay, Argentina",https://cda-hd.cc/32261/nocny-stroz-el-sereno-2017-online/,https://image.tmdb.org/t/p/w185/wSa0JadvAZvR2OPJiaHhckHjkL4.jpg
Tiger Girl (2017),"Młoda i nieśmiała Margarete (Maria-Victoria Dragus) marzy o tym, by pracować jako policjantka. Mimo usilnych starań i poświęcenia nie udaje jej się tego zrealizować. Dziewczyna decyduje się więc zrobić kurs na pracownika ochrony. Pewnego wieczoru zostaje niespodziewanie zaatakowana przez byłego współpracownika. Z opresji ratuje ją pracująca jako taksówkarz zbuntowana nieznajoma (Ella Rumpf). Margarete jest pod wrażeniem nowej znajomej. Rezolutna Tiger zmienia jej sposób myślenia i podejście do rzeczywistości.",Film,Akcja,2017,90,5.0,,Germany,https://cda-hd.cc/32213/tiger-girl-2017-online/,https://image.tmdb.org/t/p/w185/lncngniSahJf1F6FZt07oRnDigd.jpg
Made in Italy (2018),"iko pracuje w fabryce przetwarzającej mięso, podobnie jak jego ojciec. Częściej widzi zwierzęta niż ludzi, a życia nie ułatwia mu skomplikowana relacja z Sarą. Zresztą Riko i tak ma szczęście: większość jego kolegów straciła pracę po pięćdziesiątce i w ogóle nie ma źródła utrzymania. Czas wolny spędza z przyjaciółmi, między innymi z Carnevale, ale nie pomaga mu to ukoić duszy skołatanej kryzysami egzystencjalnymi. Pewnego dnia grupa przyjaciół postanawia pojechać do Rzymu, gdzie bierze udział w protestach ulicznych. Riko zostaje ranny w głowę, co powoduje, że chce zmienić swoje życie: zaczyna rozmawiać z żoną, a w pracy dopominać się o swoje.",Film,"Dramat, Komedia",2018,100,5.8,,Italy,https://cda-hd.cc/32209/made-in-italy-2018-online/,https://image.tmdb.org/t/p/w185/nzeFmkdPoxSisdTHvdgbR4p8ReM.jpg
Stephanie (2017),"Osierocona dziewczynka z nieziemskimi mocami zostaje przyjęta do domu pary, która twierdzi, że są jej rodzicami.",Film,"Dramat, Fantasy, Horror",2018,,5.7,928,USA,https://cda-hd.cc/32010/stephanie-2017-online/,https://image.tmdb.org/t/p/w185/saH984W3ZGjRX0NMCEsuKh8VUP9.jpg
M jak morderca / Hangman (2017),"Emerytowany detektyw z wydziału zabójstw wraz z kryminalnym profilerem i dziennikarką śledczą próbują schwytać seryjnego mordercę. Sprawa staje się jedną z najtrudniejszych w karierze doświadczonych policjantów, wciągając całą trójkę w wisielczą grę.",Film,"Kryminał, Tajemnica, Thriller",2017,,4.9,1414,USA,https://cda-hd.cc/22597/m-jak-morderca-hangman-2017-online/,https://image.tmdb.org/t/p/w185/qyWqax6jTxxmZBn2TFSsjpRR3cj.jpg
Rendel (2017),"Film Rendel będzie historią człowieka zaślepionego przez jego pragnieniem zemsty i nienawiści. Chociaż Rendela można uznać za superbohatera, to jest nieco ciemniejszą postacią niż tradycyjni przedstawiciele gatunku. Akcja będzie odbywać się w fikcyjne fińskim mieście, Mikkeli.",Film,"Akcja, Dramat, Kryminał",2017,,4.8,1,Finland,https://cda-hd.cc/38399/rendel-2017/,https://image.tmdb.org/t/p/w185/89Ra4YuPxPDGKfbgArDz1u4BDu4.jpg
Nie jestem łatwy / I Am Not an Easy Man (2018),"Bezwstydny szowinista dostaje nauczkę, gdy budzi się w świecie rządzonym przez kobiety i zadziera z wpływową pisarką.",Film,Komedia,2018,,7.0,47,France,https://cda-hd.cc/31216/nie-jestem-latwy-i-am-not-an-easy-man-2018-online/,https://image.tmdb.org/t/p/w185/hOFLUPWCWfdsyLEiCX2TYW4Wo44.jpg
Małpa / Monkey (2016),"Siedemnastoletnia Iva (Radina Borshosh) oraz dwunastoletnia Maya (Aleksandra Kostova) są przyrodnimi siostrami. Pewnego dnia okazuje się, że ich ojciec Andrey (Julian Vergov) musi poddać się rutynowej operacji. Dochodzi jednak do komplikacji, w następstwie których zapada w śpiączkę.",Film,Dramat,2016,,7.6,106,Bulgaria,https://cda-hd.cc/31053/malpa-monkey-2016-online/,https://image.tmdb.org/t/p/w185/m4PBpQTLig4IyQGgCKb4n04RPqZ.jpg
"Game Over, Man! (2018)","Gdy do hotelu w Los Angeles wpadają żądający ogromnego okupu uzbrojeni bandyci, troje zatrudnionych w nim przyjaciół musi pokonać własne ograniczenia i zmienić się w bohaterów.",Film,"Akcja, Komedia",2018,,7.7,60,USA,https://cda-hd.cc/30464/game-over-man-2018-online/,https://image.tmdb.org/t/p/w185/sEvsVOQimaMqqwvMOyMOzZEHnSv.jpg
Szklane Piekło / Crystal Inferno (2017),"W kancelarii adwokackiej, znajdującej się na 60. piętrze nowowybudowanego nowoczesnego wieżowca, Brianna (Claire Forlani) i Tom (Jamie Bamber) Bronsonowie przygotowują się do podpisania dokumentów rozwodowych. Tymczasem na 20 piętrze budynku, gdzie akurat w windzie znajdują się ich nastoletni syn oraz córka, wybucha pożar.
Zwaśnieni małżonkowie muszą zjednoczyć siły, by uratować siebie i uwięzione dzieci.",Film,"Akcja, Familijny, Przygodowy",2017,,4.9,148,"France, Belgium",https://cda-hd.cc/30362/szklane-pieklo-crystal-inferno-2017-online/,https://image.tmdb.org/t/p/w185/jM7VphK4v3yFCMwKiDd0ejVIkUw.jpg
Dziewczyna w skrzyni / The Girl in the Box (2016),"Podróżująca autostopem 22-letnia Colleen Stan zostaje porwana przez Camerona i Janice Hookerów. W ich domu spędza siedem lat, torturowana, gwałcona i przetrzymywana w skrzyni wielkości trumny.",Film,"Dramat, Kryminał",2016,,6.3,428,Canada,https://cda-hd.cc/29783/dziewczyna-w-skrzyni-the-girl-in-the-box-2016-online/,"https://m.media-amazon.com/images/M/MV5BZTRkZTY0MjgtZTgzNC00MmEwLWFkMGEtNzlhOTA0NTZhNTc2XkEyXkFqcGdeQXVyMjUxNzU1NjA@._V1_UY268_CR30,0,182,268_AL_.jpg"
Scooby-Doo & Batman: the Brave and the Bold (2018),"Batman łączy siły z gangiem Scooby Doo, gdy złoczyńcy z obu światów jednoczą się, by siać spustoszenie w mieście.",Film,"Akcja, Animacja, Komedia",2018,,9.4,5,USA,https://cda-hd.cc/23467/scooby-doo-batman-the-brave-and-the-bold-2018-online/,https://image.tmdb.org/t/p/w185/hSPeF1zoYH8kCOhFMu7x3B55zu6.jpg
Babes With Blades (2018),"Azura, ostatnia z nieustraszonej rasy wojowniczek, walczy z imperium, które zniszczyło jej dom.",Film,Fantasy,2018,,3.1,51,UK,https://cda-hd.cc/23469/babes-with-blades-2018-online/,https://image.tmdb.org/t/p/w185/fwdFyAP2M9N70bQoCHPIPoM70Tg.jpg
Coco (2017),"Film opowiada o historii małego chłopca – Miguela, który próbuje rozwiązać pewną tajemnicę rodzinną. Za sprawą nieoczekiwanych wydarzeń dochodzi do spotkania chłopca i rodziny, żywej jak i martwej.",Film,"Animacja, Familijny, Fantasy, Komedia, Muzyczny, Przygodowy, Tajemnica",2017,,8.4,102,USA,https://cda-hd.cc/23425/coco-2017-online/,https://image.tmdb.org/t/p/w185/eKi8dIrr8voobbaGzDpe8w0PVbC.jpg
